Postcode,Latitude,Longitude
BL2,53.5877,-2.39784
BL3,53.5661,-2.43206
BL4,53.5475,-2.40373
BL5,53.5512,-2.51691
BL6,53.5911,-2.54015
BL7,53.6281,-2.42304
BL8,53.6017,-2.32337
BL9,53.5921,-2.28888
BL11,53.5723,-2.42538
BL78,53.5615,-2.40861
BN1,50.8372,-0.140087
BN2,50.8246,-0.108035
BN3,50.8344,-0.175389
BN4,50.8493,-0.256373
BN5,50.924,-0.268002
BN6,50.9296,-0.152821
BN7,50.8784,0.00307622
BN8,50.9125,0.0500849
BN9,50.7952,0.027181
BN10,50.7957,0.0020343
BN11,50.8137,-0.375472
BN12,50.8142,-0.426885
BN13,50.8304,-0.406686
BN14,50.8308,-0.379925
BN15,50.83,-0.324919
BN16,50.8158,-0.497997
BN17,50.8153,-0.537261
BN18,50.8477,-0.581403
BN20,50.774,0.254872
BN21,50.7721,0.274701
BN22,50.7881,0.28328
BN23,50.7985,0.312706
BN24,50.8154,0.32513
BN25,50.7759,0.107375
BN26,50.8215,0.225312
BN27,50.8708,0.262858
BN41,50.8389,-0.215062
BN42,50.8367,-0.23209
BN43,50.8354,-0.268336
BN44,50.8927,-0.318647
BN45,50.8885,-0.183659
BN50,50.8261,-0.140771
BN51,50.8048,-0.0586659
BN52,50.8339,-0.168058
BN88,50.827,-0.140775
BN91,,
BN95,50.8232,-0.330024
BN99,50.8224,-0.350449
BR1,51.4107,0.0194415
BR2,51.3904,0.0216365
BR3,51.4033,-0.0318345
BR4,51.3756,-0.0099503
BR5,51.3892,0.102485
BR6,51.3677,0.092719
BR7,51.4118,0.0589575
BR8,51.3976,0.174819
BR98,,
BS0,51.3439,-2.95702
BS1,51.4539,-2.59208
BS2,51.459,-2.58103
BS3,51.4386,-2.60351
BS4,51.4364,-2.56443
BS5,51.4622,-2.55287
BS6,51.4701,-2.59818
BS7,51.4866,-2.58153
BS8,51.4575,-2.61939
BS9,51.4884,-2.62523
BS10,51.5057,-2.6117
BS11,51.4988,-2.67842
BS12,51.5555,-2.55897
BS13,51.412,-2.61143
BS14,51.4131,-2.5636
BS15,51.4549,-2.49626
BS16,51.4856,-2.51244
BS17,51.5289,-2.44225
BS18,51.3675,-2.58386
BS19,51.4075,-2.76987
BS20,51.4806,-2.75711
BS21,51.4362,-2.85128
BS22,51.3606,-2.92825
BS23,51.3435,-2.96931
BS24,51.3316,-2.92447
BS25,51.3209,-2.8265
BS26,51.2804,-2.85061
BS27,51.2726,-2.77273
BS28,51.2272,-2.81522
BS29,51.3317,-2.87627
BS30,51.4464,-2.47539
BS31,51.4097,-2.4934
BS32,51.5415,-2.56105
BS34,51.5252,-2.56755
BS35,51.5976,-2.54743
BS36,51.5261,-2.4879
BS37,51.5408,-2.41875
BS38,,
BS39,51.3281,-2.53282
BS40,51.347,-2.69388
BS41,51.4236,-2.65467
BS48,51.4265,-2.74982
BS49,51.3828,-2.81617
BS77,51.4387,-2.60153
BS80,51.5035,-2.61308
BS98,51.4594,-2.58461
BS99,51.4578,-2.57537
BT1,54.5995,-5.92844
BT2,54.5935,-5.93071
BT3,54.6183,-5.9054
BT4,54.6027,-5.86823
BT5,54.5886,-5.87395
BT6,54.5808,-5.89838
BT7,54.5832,-5.92493
BT8,54.545,-5.90793
BT9,54.5723,-5.95009
BT10,54.5598,-5.98669
BT11,54.5762,-5.99816
BT12,54.5924,-5.95627
BT13,54.6058,-5.95843
BT14,54.6211,-5.9624
BT15,54.6219,-5.93168
BT16,54.5908,-5.79794
BT17,54.5532,-6.01985
BT18,54.6404,-5.82379
BT19,54.6507,-5.6578
BT20,54.659,-5.66555
BT21,54.6413,-5.54755
BT22,54.5036,-5.51512
BT23,54.5717,-5.70764
BT24,54.4178,-5.8717
BT25,54.3965,-6.11547
BT26,54.4543,-6.06499
BT27,54.509,-6.0246
BT28,54.522,-6.08412
BT29,54.6208,-6.19753
BT30,54.3336,-5.70298
BT31,54.2764,-5.96832
